epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.254720071601868,2.047761555480957,28.31,82.04
1,2.124030687532425,1.606731866455078,46.7,90.72
2,2.0148868413829804,1.3658218437194825,56.95,93.88
3,1.9248868539333344,1.196835016822815,62.37,96.19
4,1.8516664604902267,1.1353018306732179,66.11,96.24
5,1.7850998609018325,1.0035414541244507,70.23,97.69
6,1.729023357925415,0.9843410329818726,71.55,97.21
7,1.6837768116092682,0.9795024534225464,73.18,98.23
8,1.6525933832740785,0.9662037784576416,75.03,97.85
9,1.624633274898529,0.955226383304596,75.15,98.15
10,1.6030722124195098,0.8736526826858521,77.01,98.51
11,1.5754887460899354,0.8903915372848511,78.22,98.36
12,1.5652397742509843,0.9057380212783813,77.86,98.45
13,1.547030010638237,0.8892424908638,78.45,97.88
14,1.5380124421072006,0.9854616369247436,78.95,98.53
15,1.526645093998909,0.9091427363395691,77.66,98.29
16,1.5176494875240325,1.064427029132843,75.87,96.89
17,1.514675962495804,0.9358271522521973,79.86,98.25
18,1.5093359324121476,0.8971134099960327,80.08,98.24
19,1.4978425490570069,0.8477680649757385,81.35,98.64
20,1.4948984840726853,0.9968504035949707,80.19,97.96
21,1.4838317362594604,1.0484147508621215,80.45,98.49
22,1.4816645237779618,0.9395384020805359,78.66,98.44
23,1.4750360413408279,0.8340276819229125,80.82,98.13
24,1.4662150909090041,0.8737439861297608,83.05,98.57
25,1.4577309105491638,0.9196879106521606,82.56,98.14
26,1.4570276437425613,0.8713036064147949,82.68,98.27
27,1.4560384079408646,0.936907164478302,82.26,98.6
28,1.4443682507228852,0.8204886403083801,82.97,98.59
29,1.442219754228592,0.9431789039611816,82.77,98.4
30,1.4431954244709015,0.9338154965400696,82.35,98.33
31,1.4414942181301118,0.79699369764328,83.71,98.83
32,1.43748567841053,1.0741326223373413,75.24,97.05
33,1.441956986103058,0.8618556371688842,83.78,98.73
34,1.4300813337755203,0.8281431832313537,82.13,98.4
35,1.4370929800796508,0.83145553150177,82.33,98.38
36,1.432946431159973,0.8729577973365784,82.73,98.82
37,1.4247779366588593,0.7780950423240661,83.23,98.62
38,1.4266423483657837,0.8817399020195007,83.43,98.23
39,1.4193344973087312,0.8907517804145813,82.74,98.29
40,1.4197545327854157,0.8547128616333007,83.92,98.67
41,1.4240331122112275,0.7961406937599182,83.8,98.77
42,1.4225916443395614,0.8068240550994873,83.52,98.83
43,1.4195599278974533,0.8537339815139771,84.48,98.59
44,1.4053139614582062,0.9066416666984558,83.04,98.42
45,1.407609525885582,0.8518092648506165,82.64,98.64
46,1.411357074971199,0.8350925246238708,83.98,98.86
47,1.4031871524858475,0.8295553270339966,84.09,98.27
48,1.3983335925722122,1.0202483898162842,82.89,98.78
49,1.415043928079605,0.7574670419692994,84.62,98.72
50,1.401269974064827,0.8317902823448181,83.61,98.73
51,1.4043578852367402,0.9293582922935486,84.09,98.35
52,1.3958340846920014,0.8660721043586731,84.26,98.68
53,1.4042798542690278,0.754642674446106,83.81,98.75
54,1.3969907397794723,0.8740084738731384,84.45,98.78
55,1.3930106395006179,0.8656106440544128,84.78,98.72
56,1.3941616322422028,0.769657211112976,85.67,98.83
57,1.3957599342489242,0.7207650605201721,85.1,98.51
58,1.3935308009386063,0.792578573513031,84.33,98.37
59,1.4006432730817795,0.8202837839126587,85.0,98.82
60,1.3947453485631942,0.7657324272155762,84.25,98.55
61,1.3853449803829194,0.7437381074905396,83.55,98.45
62,1.3847442195034028,0.7528388597488403,84.21,98.75
63,1.381340892443657,0.8534625564575196,84.77,98.09
64,1.389633155617714,0.7277338778495789,84.23,99.0
65,1.3816923873806,0.8707856799125672,82.72,98.29
66,1.3757854939746856,0.6820531671524048,85.24,99.13
67,1.3815463462400437,0.844649843120575,85.51,98.89
68,1.3790365933322906,0.8047186367988587,85.65,98.76
69,1.376920348162651,0.7082140578269959,85.68,98.88
70,1.3760388517427444,0.7755962426185607,85.2,98.55
71,1.3715993810939788,0.7046623059272766,85.47,98.97
72,1.3749500541210176,0.647599406337738,85.57,98.97
73,1.3653077033615113,0.8017838327407837,84.58,99.15
74,1.3707601045799256,0.7328893938064576,85.7,98.74
75,1.362201506061554,0.9620454105377197,84.54,98.36
76,1.3657185052919387,0.8574931909561158,85.41,98.79
77,1.365051373515129,0.7606976114273071,86.36,98.69
78,1.3592057245254516,0.616111944103241,86.63,99.08
79,1.3674721965742112,0.82111327085495,85.01,98.75
80,1.3556007522821427,0.7531273198127747,84.91,98.86
81,1.354742616868019,0.701836289024353,86.08,98.81
82,1.3576174571180344,0.7574823857307434,85.98,98.95
83,1.3537681294965744,0.6835731550216675,86.12,98.92
84,1.355413455939293,0.6445313139915466,86.5,98.99
85,1.3476883805274964,0.8730660526275634,86.34,98.78
86,1.3497508714723587,0.6919067513465882,86.49,99.13
87,1.3451163492584228,0.7937060318946838,85.13,98.81
88,1.3441264462947846,0.7035449642181396,86.05,99.03
89,1.345804969162941,0.654140696144104,86.14,99.02
90,1.3411781821393967,0.6335140923500061,86.28,99.12
91,1.3475266036701203,0.6894115128517151,85.82,99.18
92,1.3397895201826096,0.678105776309967,86.36,98.93
93,1.3417927029371262,0.7382315383911133,87.07,98.82
94,1.3396470131587983,0.7272950320243835,86.4,98.54
95,1.3331331459665299,0.7541319421768189,86.83,98.99
96,1.3342740744972228,0.7335836181640625,86.86,98.74
97,1.328332297744751,0.6928641346931458,86.78,99.02
98,1.3317019236326217,0.6880231788635254,87.2,99.05
99,1.3230120407295227,0.693408473777771,86.6,98.81
100,1.3272006173849107,0.7572759756088256,86.29,98.97
101,1.3203963853931426,0.6338581694602966,87.14,98.98
102,1.3213588393211364,0.7584095257759095,83.31,98.48
103,1.3211930961322784,0.6983766212463379,87.04,98.9
104,1.321905638256073,0.7986754384040833,86.23,98.72
105,1.3152641082763672,0.9547929361343384,84.52,98.13
106,1.319793020834923,0.6334890608787537,87.19,99.05
107,1.316448828177452,0.7347277499198913,86.2,99.08
108,1.3135743521642684,0.7079303294181823,87.03,98.98
109,1.3094407566404342,0.611381183052063,88.85,99.36
110,1.3047663770866393,0.6835560748100281,88.51,99.14
111,1.3028273050785064,0.7085411597251892,87.78,98.89
112,1.3086732792901994,0.8002909571647644,87.9,99.05
113,1.3069450109243392,0.6973812075614929,87.16,98.97
114,1.3007438780117035,0.6298379560470581,88.14,99.23
115,1.2968301123809813,0.7168555151939392,87.81,98.88
116,1.2910541843557357,0.6850671382904052,87.11,98.93
117,1.301492746143341,0.7097732913017273,87.47,99.07
118,1.2893434956884384,0.624625593662262,88.64,99.21
119,1.2884446630477906,0.6428602570533752,88.68,99.37
120,1.2859360609149932,0.6355591171264648,87.72,98.97
121,1.281424364128113,0.5968668537139893,88.72,99.18
122,1.2812430603981018,0.6816969519615174,88.81,98.92
123,1.2770686534976958,0.6675154090881348,88.98,99.08
124,1.2821817738437653,0.7819579594612122,87.68,98.43
125,1.2714975316762924,0.7311050963401794,88.52,98.65
126,1.270382885699272,0.5898322436332702,88.6,99.16
127,1.2732417613887788,0.707492149734497,88.3,98.82
128,1.2634267253923417,0.5674716775894165,88.76,99.32
129,1.267441206111908,0.6232357075214386,89.24,99.25
130,1.274457220387459,0.542232033443451,89.51,99.41
131,1.264705020980835,0.8612428858757019,88.12,98.74
132,1.258486800994873,0.6408185853958129,89.13,99.17
133,1.252123339138031,0.6503515293598175,88.33,99.0
134,1.2455533684062958,0.6387776682853699,88.87,99.13
135,1.2497657019710542,0.7068196399688721,89.02,98.9
136,1.2519784352064132,0.5827146371841431,89.17,99.21
137,1.24399420979023,0.6674917502403259,90.1,98.86
138,1.2457493624973297,0.6416355932235718,89.95,99.22
139,1.2425285587358474,0.7247816455841064,89.07,98.69
140,1.2318733389377594,0.598926648902893,90.3,99.28
141,1.233371818242073,0.667697303199768,88.93,98.86
142,1.238959171037674,0.5261271384239197,90.33,99.11
143,1.225803388786316,0.6258867706298828,89.95,99.1
144,1.222902620897293,0.5785735175132751,89.89,99.3
145,1.2242535984039307,0.5245289157867432,90.48,99.48
146,1.213649093542099,0.6671414821624756,89.99,98.86
147,1.2145494314336778,0.5700900213241578,89.66,99.21
148,1.2099830458831786,0.6880261016845703,89.61,98.64
149,1.2072257508754731,0.5986596209526062,91.06,99.23
150,1.207203989701271,0.5628749302864074,90.99,99.28
151,1.2038798174476624,0.5197528734207153,91.22,99.27
152,1.2026172782278062,0.6208714794158936,90.67,98.99
153,1.2025032941818237,0.5626687859535218,91.01,99.13
154,1.1973250228977204,0.553977306509018,90.87,99.16
155,1.1878684951257705,0.6339263805389405,90.19,98.88
156,1.186979805150032,0.5521319470405579,91.28,99.27
157,1.187818380689621,0.6503644352912903,90.59,98.72
158,1.1905240688085557,0.5665727239608764,91.57,99.18
159,1.1803799638843537,0.5633259596824646,90.94,99.06
160,1.1775656411600113,0.601387572479248,90.69,99.14
161,1.174593656105995,0.5499123336315155,91.42,99.1
162,1.1732664756536484,0.5726328691482544,91.5,99.27
163,1.1705391516399384,0.6095247016906739,91.17,99.15
164,1.1652698997688293,0.5238025682449341,92.1,99.52
165,1.1639833156538009,0.5016639804840088,91.45,99.37
166,1.1588575016736984,0.5372847545623779,92.11,99.36
167,1.1583854531764983,0.5665909158706665,92.42,99.32
168,1.155053003168106,0.7351573769569397,91.25,98.59
169,1.1514817096090317,0.5683507235527039,91.56,98.94
170,1.1440972381448746,0.5097822914123535,92.42,99.14
171,1.1433448173093796,0.6327785375595093,91.67,99.02
172,1.140820349664688,0.5085487141609192,92.09,99.32
173,1.145904319138527,0.5882980773925781,91.83,98.99
174,1.1399757132720947,0.5635888611793518,92.1,98.98
175,1.1370491256475448,0.47823714122772215,92.51,99.24
176,1.129671310734749,0.5947643733024597,91.98,99.1
177,1.1308306401729584,0.6733520516395569,91.49,98.77
178,1.131539311170578,0.5852148756980896,90.87,98.92
179,1.127432702064514,0.6359214849472046,91.75,98.6
180,1.119411618618965,0.582340511417389,92.15,99.21
181,1.1187907852506638,0.4750168362617493,92.55,99.37
182,1.1189947017669677,0.4958646427154541,92.3,98.94
183,1.1165968001031876,0.48586394023895263,93.05,99.27
184,1.1214247001552582,0.4449162841796875,92.4,99.59
185,1.111597251958847,0.4318368959903717,92.98,99.5
186,1.1093655467748642,0.5463932859420776,92.86,98.89
187,1.1051767182159424,0.47225705184936523,93.24,98.89
