epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.25490303021431,2.04939127368927,27.94,82.08
1,2.1227378686523437,1.6024962730407715,47.09,91.09
2,2.01323264339447,1.3530824718475343,57.04,94.12
3,1.921816664814949,1.2075831880569459,62.02,95.52
4,1.8487985582590103,1.1082993479728698,66.67,96.16
5,1.7785552668333053,1.047804461288452,68.86,97.44
6,1.7272810773086549,0.9525471113204956,72.41,97.68
7,1.6828331262731553,0.9468272830963135,74.46,98.11
8,1.6533248104524612,0.9824538696289062,74.91,98.08
9,1.6211062402772904,0.90943834400177,76.73,98.28
10,1.604336712474823,0.8818593439102173,76.85,98.45
11,1.5750178965616226,0.9717111410140992,75.06,97.66
12,1.5665887917518615,0.894883987045288,77.46,98.42
13,1.5501499663877487,0.9056005170822143,78.64,97.99
14,1.5406717863035202,0.9845725633621216,79.81,98.7
15,1.5275409423589705,0.9043498406410218,79.5,98.58
16,1.5192253946590424,0.9715210542678833,79.22,97.9
17,1.5144653309345246,0.9335338092803955,79.96,98.18
18,1.5096528234672546,0.8805434563636779,80.7,98.55
19,1.4991693260478973,0.8851404914855957,79.67,98.71
20,1.4957536057424545,1.08353060836792,80.13,97.81
21,1.4848032643651963,1.1808329641342163,74.04,97.59
22,1.4865359118795396,0.9449919838905334,80.97,98.65
23,1.4795582150220872,0.8264987851142883,82.73,98.68
24,1.4708352005767822,0.9605849610328674,80.99,98.43
25,1.456686354970932,0.9788521314620972,82.22,97.53
26,1.4607545935297013,0.9231631282806396,78.85,98.08
27,1.4555102754306792,1.0222880613327026,80.45,98.29
28,1.4469356821489334,0.90892871799469,80.67,98.35
29,1.446152295179367,0.9935648317337036,81.42,98.09
30,1.4447973014116287,1.0452178379058839,80.73,98.17
31,1.441954357419014,0.9064822389602661,81.35,98.16
32,1.441600144519806,1.052016394996643,78.3,97.14
33,1.444250765504837,0.9702647560119629,81.79,98.21
34,1.4314096253156663,0.8743109914779663,82.56,98.21
35,1.4374048361825944,0.9218922904968262,81.01,97.86
36,1.4355798766899108,0.9556570219993591,83.39,98.68
37,1.428120086364746,0.8172134072303772,83.23,99.0
38,1.4264934405565262,1.038733591079712,81.49,97.55
39,1.4202463629245758,0.9346807074546813,82.96,98.28
40,1.4196527885723114,0.9384808122634888,83.0,98.12
41,1.4231999627161025,0.860786747932434,83.22,98.68
42,1.4215929479026794,0.8782726247787476,82.77,98.33
43,1.4204272943925857,0.903165274143219,83.22,98.04
44,1.4085306011915206,0.9150498077392578,82.46,97.87
45,1.409012809419632,0.9585071889877319,80.78,98.38
46,1.413879120554924,0.9729279431343079,83.07,98.47
47,1.4040544481658936,0.8764778266906739,83.02,98.68
48,1.4017627139377593,0.9764317790985108,83.59,98.66
49,1.4143642170858384,0.9053163911819458,83.42,98.52
50,1.4043175392103195,0.8854644506454468,83.52,98.42
