epoch,train_loss,lr
0,2.2546,1e-06
1,2.1245,1.595e-05
2,2.0151,3.09e-05
3,1.9248,4.585e-05
4,1.8491,6.08e-05
5,1.7772,7.575e-05
6,1.7207,9.07e-05
7,1.6729,0.0001056
8,1.6441,0.0001206
9,1.6142,0.0001355
10,1.5981,0.0001505
11,1.5683,0.0001654
12,1.5592,0.0001804
13,1.5433,0.0001953
14,1.5283,0.0002103
15,1.5209,0.0002252
16,1.5098,0.0002402
17,1.5076,0.0002551
18,1.4984,0.0002701
19,1.4926,0.000285
20,1.4897,0.0002929
21,1.4777,0.0002922
22,1.4742,0.0002914
23,1.4688,0.0002906
24,1.4599,0.0002898
25,1.4466,0.000289
26,1.4488,0.0002881
27,1.4442,0.0002872
28,1.4344,0.0002862
29,1.434,0.0002852
30,1.4353,0.0002842
31,1.4308,0.0002831
32,1.4287,0.0002821
33,1.4328,0.000281
34,1.4229,0.0002798
35,1.4276,0.0002786
36,1.4274,0.0002774
37,1.4186,0.0002762
38,1.4188,0.0002749
39,1.4145,0.0002736
40,1.4135,0.0002723
41,1.4148,0.000271
42,1.4169,0.0002696
43,1.4125,0.0002682
44,1.3991,0.0002667
45,1.4001,0.0002653
46,1.4068,0.0002638
47,1.3972,0.0002622
48,1.3942,0.0002607
49,1.4083,0.0002591
50,1.3956,0.0002575
51,1.398,0.0002559
52,1.3926,0.0002543
53,1.4003,0.0002526
54,1.3917,0.0002509
55,1.386,0.0002492
56,1.3908,0.0002474
57,1.3875,0.0002457
58,1.3882,0.0002439
59,1.3961,0.0002421
60,1.3888,0.0002402
61,1.3818,0.0002384
62,1.3803,0.0002365
63,1.3781,0.0002346
64,1.3821,0.0002327
65,1.3756,0.0002308
66,1.3751,0.0002288
67,1.3755,0.0002268
68,1.374,0.0002249
69,1.3706,0.0002228
70,1.3705,0.0002208
71,1.3677,0.0002188
72,1.3691,0.0002167
73,1.3595,0.0002147
74,1.3703,0.0002126
75,1.3582,0.0002105
76,1.3647,0.0002084
77,1.3604,0.0002063
78,1.3562,0.0002041
79,1.3632,0.000202
80,1.3471,0.0001998
81,1.3518,0.0001976
82,1.3546,0.0001955
83,1.3486,0.0001933
84,1.3519,0.0001911
85,1.3406,0.0001888
86,1.3455,0.0001866
87,1.3405,0.0001844
88,1.3411,0.0001822
89,1.3396,0.0001799
90,1.3404,0.0001777
91,1.3419,0.0001754
92,1.3371,0.0001732
93,1.3349,0.0001709
94,1.3333,0.0001686
95,1.3288,0.0001664
96,1.3306,0.0001641
97,1.3265,0.0001618
98,1.3305,0.0001596
99,1.3177,0.0001573
100,1.3256,0.000155
101,1.3184,0.0001527
102,1.3173,0.0001504
103,1.3132,0.0001482
104,1.3161,0.0001459
105,1.3063,0.0001436
106,1.3108,0.0001414
107,1.309,0.0001391
108,1.307,0.0001368
109,1.3054,0.0001346
110,1.2997,0.0001323
111,1.2989,0.0001301
112,1.3033,0.0001278
113,1.3007,0.0001256
114,1.2928,0.0001234
115,1.2906,0.0001212
116,1.2843,0.0001189
117,1.2922,0.0001167
118,1.2843,0.0001145
119,1.2845,0.0001124
120,1.2796,0.0001102
121,1.2735,0.000108
122,1.2731,0.0001059
123,1.2677,0.0001037
124,1.275,0.0001016
125,1.2689,9.951e-05
126,1.2623,9.741e-05
127,1.265,9.533e-05
128,1.2601,9.326e-05
129,1.2649,9.121e-05
130,1.2673,8.917e-05
131,1.2563,8.715e-05
132,1.2561,8.515e-05
133,1.2479,8.316e-05
134,1.2392,8.119e-05
135,1.2448,7.924e-05
136,1.2464,7.731e-05
137,1.2388,7.539e-05
138,1.2364,7.35e-05
139,1.2396,7.162e-05
140,1.2273,6.977e-05
141,1.2258,6.794e-05
142,1.2307,6.613e-05
143,1.2198,6.434e-05
144,1.2196,6.257e-05
145,1.2164,6.083e-05
146,1.2104,5.911e-05
147,1.209,5.741e-05
148,1.205,5.574e-05
149,1.1995,5.409e-05
150,1.2032,5.247e-05
151,1.1992,5.087e-05
152,1.1986,4.93e-05
153,1.1997,4.775e-05
154,1.1916,4.623e-05
155,1.1871,4.474e-05
156,1.1816,4.328e-05
157,1.1826,4.184e-05
158,1.1868,4.043e-05
159,1.1753,3.905e-05
160,1.1701,3.769e-05
161,1.1702,3.637e-05
162,1.1685,3.507e-05
163,1.1642,3.381e-05
164,1.1631,3.257e-05
165,1.1596,3.137e-05
166,1.1573,3.019e-05
167,1.1576,2.905e-05
168,1.1564,2.794e-05
169,1.147,2.685e-05
170,1.1423,2.58e-05
171,1.1413,2.479e-05
172,1.1382,2.38e-05
173,1.1413,2.285e-05
174,1.1378,2.193e-05
175,1.1327,2.104e-05
176,1.1301,2.018e-05
177,1.1288,1.936e-05
178,1.1277,1.857e-05
179,1.1229,1.782e-05
180,1.1169,1.71e-05
181,1.1171,1.641e-05
182,1.1161,1.576e-05
183,1.1132,1.514e-05
184,1.1179,1.456e-05
185,1.11,1.401e-05
186,1.1088,1.349e-05
187,1.1052,1.301e-05
188,1.1024,1.257e-05
189,1.1037,1.216e-05
190,1.105,1.179e-05
191,1.1028,1.145e-05
192,1.0951,1.114e-05
193,1.101,1.088e-05
194,1.1006,1.064e-05
195,1.0964,1.045e-05
196,1.0852,1.029e-05
197,1.0946,1.016e-05
198,1.0972,1.007e-05
199,1.0915,1.002e-05
200,1.0946,1e-05
201,1.089,1e-05
202,1.0866,1e-05
203,1.0835,1e-05
204,1.0893,1e-05
205,1.0964,1e-05
206,1.0855,1e-05
207,1.0876,1e-05
208,1.0859,1e-05
209,1.0846,1e-05
