epoch,train_loss,lr
0,2.2547,1e-06
1,2.1246,1.595e-05
2,2.0152,3.09e-05
3,1.9246,4.585e-05
4,1.8511,6.08e-05
5,1.7827,7.575e-05
6,1.7261,9.07e-05
7,1.6771,0.0001056
8,1.6471,0.0001206
9,1.6146,0.0001355
10,1.6013,0.0001505
11,1.5716,0.0001654
12,1.5628,0.0001804
13,1.5447,0.0001953
14,1.5334,0.0002103
15,1.522,0.0002252
16,1.5127,0.0002402
17,1.5108,0.0002551
18,1.5018,0.0002701
19,1.4927,0.000285
20,1.4911,0.0002929
21,1.4743,0.0002922
22,1.4757,0.0002914
23,1.4701,0.0002906
24,1.464,0.0002898
25,1.4526,0.000289
26,1.452,0.0002881
27,1.4465,0.0002872
28,1.4397,0.0002862
29,1.4382,0.0002852
30,1.441,0.0002842
31,1.4339,0.0002831
32,1.4318,0.0002821
33,1.4351,0.000281
34,1.4245,0.0002798
35,1.4295,0.0002786
36,1.4276,0.0002774
37,1.4172,0.0002762
38,1.4216,0.0002749
39,1.4119,0.0002736
40,1.4142,0.0002723
41,1.4155,0.000271
42,1.4142,0.0002696
43,1.4157,0.0002682
44,1.3998,0.0002667
45,1.4041,0.0002653
46,1.4077,0.0002638
47,1.3979,0.0002622
48,1.3933,0.0002607
49,1.4094,0.0002591
50,1.4003,0.0002575
51,1.3991,0.0002559
52,1.391,0.0002543
53,1.3989,0.0002526
54,1.3959,0.0002509
55,1.3909,0.0002492
56,1.3917,0.0002474
57,1.3914,0.0002457
58,1.3883,0.0002439
59,1.3958,0.0002421
60,1.3906,0.0002402
61,1.3798,0.0002384
62,1.3799,0.0002365
63,1.3788,0.0002346
64,1.3849,0.0002327
65,1.3768,0.0002308
66,1.3738,0.0002288
67,1.3741,0.0002268
68,1.3753,0.0002249
69,1.3735,0.0002228
70,1.3726,0.0002208
71,1.3683,0.0002188
72,1.3677,0.0002167
73,1.361,0.0002147
74,1.3698,0.0002126
75,1.3577,0.0002105
76,1.3648,0.0002084
77,1.3601,0.0002063
78,1.3542,0.0002041
79,1.3638,0.000202
80,1.3456,0.0001998
81,1.3516,0.0001976
82,1.3545,0.0001955
83,1.3509,0.0001933
84,1.3527,0.0001911
85,1.3432,0.0001888
86,1.3472,0.0001866
87,1.3396,0.0001844
88,1.3406,0.0001822
89,1.34,0.0001799
90,1.3382,0.0001777
91,1.3432,0.0001754
92,1.3362,0.0001732
93,1.3342,0.0001709
94,1.3361,0.0001686
95,1.3261,0.0001664
96,1.3289,0.0001641
97,1.3226,0.0001618
98,1.3271,0.0001596
99,1.3176,0.0001573
100,1.3214,0.000155
101,1.3169,0.0001527
102,1.3163,0.0001504
103,1.3108,0.0001482
104,1.3164,0.0001459
105,1.309,0.0001436
106,1.3151,0.0001414
107,1.3095,0.0001391
108,1.3093,0.0001368
109,1.3071,0.0001346
110,1.299,0.0001323
111,1.3007,0.0001301
112,1.3043,0.0001278
113,1.3022,0.0001256
114,1.2937,0.0001234
115,1.2914,0.0001212
116,1.2843,0.0001189
117,1.2919,0.0001167
118,1.2832,0.0001145
119,1.284,0.0001124
120,1.2773,0.0001102
121,1.2753,0.000108
122,1.2763,0.0001059
123,1.2711,0.0001037
124,1.2749,0.0001016
125,1.2681,9.951e-05
126,1.2637,9.741e-05
127,1.267,9.533e-05
128,1.2574,9.326e-05
129,1.2653,9.121e-05
130,1.2675,8.917e-05
131,1.2565,8.715e-05
132,1.2535,8.515e-05
133,1.2457,8.316e-05
134,1.2422,8.119e-05
135,1.2463,7.924e-05
136,1.2491,7.731e-05
137,1.236,7.539e-05
138,1.2396,7.35e-05
139,1.2414,7.162e-05
140,1.2258,6.977e-05
141,1.2267,6.794e-05
142,1.2312,6.613e-05
143,1.2223,6.434e-05
144,1.2192,6.257e-05
145,1.2188,6.083e-05
146,1.2136,5.911e-05
147,1.2111,5.741e-05
148,1.2112,5.574e-05
149,1.1993,5.409e-05
150,1.2025,5.247e-05
151,1.2025,5.087e-05
152,1.2005,4.93e-05
153,1.1991,4.775e-05
154,1.1921,4.623e-05
155,1.184,4.474e-05
156,1.1826,4.328e-05
157,1.186,4.184e-05
158,1.1868,4.043e-05
159,1.1786,3.905e-05
160,1.1721,3.769e-05
161,1.1698,3.637e-05
162,1.1728,3.507e-05
163,1.1645,3.381e-05
164,1.1661,3.257e-05
165,1.1622,3.137e-05
166,1.1531,3.019e-05
167,1.158,2.905e-05
168,1.1556,2.794e-05
169,1.1491,2.685e-05
170,1.141,2.58e-05
171,1.142,2.479e-05
172,1.1376,2.38e-05
173,1.1452,2.285e-05
174,1.1354,2.193e-05
175,1.1299,2.104e-05
176,1.1277,2.018e-05
177,1.1312,1.936e-05
178,1.1286,1.857e-05
179,1.1238,1.782e-05
180,1.1159,1.71e-05
181,1.1176,1.641e-05
182,1.1191,1.576e-05
183,1.1156,1.514e-05
184,1.117,1.456e-05
185,1.1091,1.401e-05
186,1.1086,1.349e-05
187,1.1027,1.301e-05
188,1.1067,1.257e-05
189,1.1041,1.216e-05
190,1.1059,1.179e-05
191,1.1026,1.145e-05
192,1.0937,1.114e-05
193,1.0995,1.088e-05
194,1.1015,1.064e-05
195,1.0938,1.045e-05
196,1.086,1.029e-05
197,1.0915,1.016e-05
198,1.098,1.007e-05
199,1.0921,1.002e-05
200,1.0931,1e-05
201,1.0896,1e-05
202,1.0858,1e-05
203,1.084,1e-05
204,1.0921,1e-05
205,1.0951,1e-05
206,1.0837,1e-05
207,1.0881,1e-05
208,1.0861,1e-05
209,1.0845,1e-05
