epoch,train_loss,lr
0,2.2309,1e-06
1,2.0782,1.595e-05
2,1.9524,3.09e-05
3,1.8446,4.585e-05
4,1.7519,6.08e-05
5,1.6827,7.575e-05
6,1.6356,9.07e-05
7,1.6053,0.0001056
8,1.5748,0.0001206
9,1.5566,0.0001355
10,1.5367,0.0001505
11,1.5222,0.0001654
12,1.5072,0.0001804
13,1.4978,0.0001953
14,1.4908,0.0002103
15,1.4804,0.0002252
16,1.4823,0.0002402
17,1.4768,0.0002551
18,1.4626,0.0002701
19,1.456,0.000285
20,1.4519,0.0002929
21,1.4415,0.0002922
22,1.4399,0.0002914
23,1.4305,0.0002906
24,1.4202,0.0002898
25,1.4175,0.000289
26,1.4092,0.0002881
27,1.4079,0.0002872
28,1.403,0.0002862
29,1.401,0.0002852
30,1.3965,0.0002842
31,1.3967,0.0002831
32,1.3925,0.0002821
33,1.3966,0.000281
34,1.3902,0.0002798
35,1.3923,0.0002786
36,1.3788,0.0002774
37,1.385,0.0002762
38,1.3794,0.0002749
39,1.3812,0.0002736
40,1.3778,0.0002723
41,1.3732,0.000271
42,1.3675,0.0002696
43,1.3772,0.0002682
44,1.3677,0.0002667
45,1.3697,0.0002653
46,1.3611,0.0002638
47,1.3653,0.0002622
48,1.3613,0.0002607
49,1.3583,0.0002591
50,1.3604,0.0002575
51,1.3524,0.0002559
52,1.3552,0.0002543
53,1.3494,0.0002526
54,1.3535,0.0002509
55,1.3501,0.0002492
56,1.3501,0.0002474
57,1.3462,0.0002457
58,1.3452,0.0002439
59,1.3465,0.0002421
60,1.3473,0.0002402
61,1.3449,0.0002384
62,1.3353,0.0002365
63,1.3429,0.0002346
64,1.3374,0.0002327
65,1.3377,0.0002308
66,1.3349,0.0002288
67,1.3292,0.0002268
68,1.3218,0.0002249
69,1.3284,0.0002228
70,1.3266,0.0002208
71,1.3227,0.0002188
72,1.3286,0.0002167
73,1.3232,0.0002147
74,1.3199,0.0002126
75,1.323,0.0002105
76,1.3193,0.0002084
77,1.3204,0.0002063
78,1.3115,0.0002041
79,1.3049,0.000202
80,1.3057,0.0001998
81,1.306,0.0001976
82,1.3126,0.0001955
83,1.3052,0.0001933
84,1.3058,0.0001911
85,1.2968,0.0001888
86,1.2992,0.0001866
87,1.2982,0.0001844
88,1.2994,0.0001822
89,1.2932,0.0001799
90,1.2922,0.0001777
91,1.2856,0.0001754
92,1.2858,0.0001732
93,1.2846,0.0001709
94,1.2795,0.0001686
95,1.2789,0.0001664
96,1.2772,0.0001641
97,1.2729,0.0001618
98,1.276,0.0001596
99,1.2734,0.0001573
100,1.2662,0.000155
101,1.264,0.0001527
102,1.271,0.0001504
103,1.2655,0.0001482
104,1.257,0.0001459
105,1.2588,0.0001436
106,1.2494,0.0001414
107,1.2509,0.0001391
108,1.2457,0.0001368
109,1.2448,0.0001346
110,1.2443,0.0001323
111,1.2399,0.0001301
112,1.2345,0.0001278
113,1.234,0.0001256
114,1.2378,0.0001234
115,1.223,0.0001212
116,1.2252,0.0001189
117,1.2255,0.0001167
118,1.2216,0.0001145
119,1.2175,0.0001124
120,1.2134,0.0001102
121,1.2186,0.000108
122,1.2099,0.0001059
123,1.211,0.0001037
124,1.2066,0.0001016
125,1.201,9.951e-05
126,1.2047,9.741e-05
127,1.1994,9.533e-05
128,1.1931,9.326e-05
129,1.1919,9.121e-05
130,1.1957,8.917e-05
131,1.1778,8.715e-05
132,1.1773,8.515e-05
133,1.1806,8.316e-05
134,1.1755,8.119e-05
135,1.17,7.924e-05
136,1.1756,7.731e-05
137,1.1695,7.539e-05
138,1.1679,7.35e-05
139,1.1613,7.162e-05
140,1.1577,6.977e-05
141,1.1528,6.794e-05
142,1.1561,6.613e-05
143,1.1514,6.434e-05
144,1.1471,6.257e-05
145,1.1479,6.083e-05
146,1.1397,5.911e-05
147,1.1417,5.741e-05
148,1.1373,5.574e-05
149,1.1299,5.409e-05
150,1.1327,5.247e-05
151,1.1317,5.087e-05
152,1.1208,4.93e-05
153,1.12,4.775e-05
154,1.1183,4.623e-05
155,1.1115,4.474e-05
156,1.1056,4.328e-05
157,1.1035,4.184e-05
158,1.1067,4.043e-05
159,1.1018,3.905e-05
160,1.0941,3.769e-05
161,1.1031,3.637e-05
162,1.0885,3.507e-05
163,1.0915,3.381e-05
164,1.0835,3.257e-05
165,1.0771,3.137e-05
166,1.084,3.019e-05
167,1.0792,2.905e-05
168,1.0729,2.794e-05
169,1.0716,2.685e-05
170,1.0723,2.58e-05
171,1.0709,2.479e-05
172,1.062,2.38e-05
173,1.0632,2.285e-05
174,1.058,2.193e-05
175,1.0545,2.104e-05
176,1.0499,2.018e-05
177,1.0569,1.936e-05
178,1.057,1.857e-05
179,1.0442,1.782e-05
180,1.0402,1.71e-05
181,1.04,1.641e-05
182,1.0347,1.576e-05
183,1.0366,1.514e-05
184,1.0281,1.456e-05
185,1.0345,1.401e-05
186,1.0334,1.349e-05
187,1.0281,1.301e-05
188,1.036,1.257e-05
189,1.0232,1.216e-05
190,1.0241,1.179e-05
191,1.0208,1.145e-05
192,1.0158,1.114e-05
193,1.02,1.088e-05
194,1.0191,1.064e-05
195,1.0164,1.045e-05
196,1.0177,1.029e-05
197,1.0189,1.016e-05
198,1.0176,1.007e-05
199,1.0139,1.002e-05
200,1.0088,1e-05
201,1.0099,1e-05
202,1.0164,1e-05
203,1.0155,1e-05
204,1.0142,1e-05
205,1.0171,1e-05
206,1.015,1e-05
207,1.0077,1e-05
208,1.0106,1e-05
209,1.0109,1e-05
