epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2545692565727236,2.047665040206909,28.35,82.3
1,2.124483946943283,1.6101477542877198,46.68,91.25
2,2.015105543241501,1.3609326950073242,56.96,93.84
3,1.9247513204669953,1.203254600906372,63.03,95.5
4,1.8491206063461303,1.1017678130149842,66.84,96.05
5,1.7772042157840728,1.02702337474823,70.6,97.62
6,1.7207331375885009,0.9565373643875122,72.4,97.39
7,1.6729112045955659,0.9489469717025757,74.16,98.31
8,1.6441052754211425,0.9330015366554261,75.95,98.28
9,1.6142429640674592,0.9033854270935059,75.69,98.23
10,1.598088137960434,0.8785469120025635,76.35,98.34
11,1.5682770567369462,0.9140012072563172,76.35,98.4
12,1.5591627253627778,0.8886844172477723,78.43,98.6
13,1.5432630900478364,0.8467236161231995,78.42,98.29
14,1.5282681050205231,0.888888192653656,79.8,98.47
15,1.520899574933052,0.8865095323562622,78.24,98.41
16,1.5097884838056563,0.8481870713233948,81.22,98.95
17,1.50758509829998,0.9668526466369629,80.32,98.3
18,1.4984467698431014,0.8863277453422547,81.01,98.26
19,1.492641455554962,0.8448569149017334,80.94,98.78
20,1.4897054735136033,0.9570843040466308,81.98,98.77
21,1.4777171031045915,1.0677366984367371,78.97,98.24
22,1.4742255429267883,0.9530752714157105,80.7,98.53
23,1.4688345373630525,0.8583026937484741,80.43,98.36
24,1.4599309639501572,0.9523707650184632,82.67,98.84
25,1.4466108097267152,0.965465336227417,81.83,98.16
26,1.448807744064331,0.8846595372200012,82.6,98.73
27,1.4442375534963607,0.9860355124473572,82.04,98.39
28,1.4343770977401733,0.8607138146400451,82.93,98.82
29,1.43400765396595,0.9265492861747742,83.49,98.4
30,1.4353415485811234,0.8961498357772827,82.67,98.53
31,1.4308078387641907,0.8808092656135559,83.62,98.73
32,1.428693916449547,1.0271972832679748,78.77,97.4
33,1.432824320449829,0.9296323359489441,82.75,98.79
34,1.4229376661777495,0.830332419013977,82.84,98.36
35,1.427560148897171,0.8638177341461182,83.18,98.61
36,1.4274477883005143,0.8705981832504273,84.21,98.89
37,1.418568078546524,0.7738116725921631,82.96,98.6
38,1.4188196804618836,0.9383119491577149,82.78,98.58
39,1.414459586353302,0.9463624485969544,81.53,98.42
40,1.413509932460785,0.864787483215332,83.23,98.75
41,1.4147837099981309,0.8595522815704346,85.44,98.93
42,1.4168744361066818,0.7961260918617249,84.03,98.82
43,1.4125387328481673,0.8425920618057251,84.22,98.63
44,1.3990742478561402,0.7850973399162292,83.73,98.77
45,1.4000783833026886,0.760895147895813,85.02,99.1
46,1.4068202261447906,0.8427426962852478,84.35,98.74
47,1.3971614225530624,0.8809295094490052,82.99,98.36
48,1.3941984692239762,0.929019907951355,84.24,98.77
49,1.4083394460439682,0.8128292252540589,84.55,98.66
50,1.3956146970748902,0.7885010313987731,84.35,99.0
51,1.3979779852962493,0.8223922778129578,85.43,98.79
52,1.39262465385437,0.8041276594161987,85.61,98.81
53,1.4003036749219895,0.7143113437652588,85.99,99.19
54,1.3916703278589249,0.8278770804405212,84.33,98.85
55,1.3859686268663407,0.8055360235214234,84.57,98.99
56,1.3907783508968354,0.7373063646316528,85.04,98.58
57,1.38750471660614,0.7026251300811768,85.09,98.82
58,1.3882400478553771,0.7896669413566589,84.07,98.35
59,1.39608631731987,0.7827804447174073,84.99,98.71
60,1.3888285962867737,0.7722037027359009,85.71,98.98
61,1.3818465038156509,0.7133753624916077,86.13,99.05
62,1.3803495003080368,0.7176192074775696,85.14,98.8
63,1.3781471339559555,0.7742798731803894,85.98,98.94
64,1.382122393655777,0.6591936908721924,86.02,99.24
65,1.3755850476312637,0.765417540359497,84.53,98.63
66,1.375130080666542,0.7080789002418518,85.8,99.04
67,1.3755195015573503,0.7789286136627197,85.26,98.9
68,1.3739598612165451,0.7625101651191711,86.3,99.04
69,1.370621983332634,0.7452380504608155,85.8,99.01
70,1.3705174762868881,0.7936113451957703,84.74,98.54
71,1.3677318619823455,0.7034787379264832,86.29,99.13
72,1.3690596988534927,0.688440383720398,85.33,99.11
73,1.359530209517479,0.716442760848999,86.74,99.28
74,1.3703468527603149,0.727903119468689,84.71,98.83
75,1.3582387242507934,0.7689903995513916,86.4,98.93
76,1.3646640936326981,0.7484495420455932,86.19,98.81
77,1.3603644434547424,0.712657250881195,86.11,98.91
78,1.356228909740448,0.6758321914672851,85.78,99.25
79,1.3631590624904633,0.7645610576629639,84.71,98.74
