epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2546968199443818,2.0486016120910646,28.13,82.24
1,2.123947778043747,1.6001582845687867,46.63,91.78
2,2.0142401951503754,1.3674893907546997,56.99,93.63
3,1.9244914729070663,1.2401561574935913,61.23,94.93
4,1.8481888112688065,1.0973577019691467,66.67,96.67
5,1.7805469261217117,1.0373517753601074,69.69,96.99
6,1.7250143309354782,0.972070586490631,72.04,97.13
7,1.6729301787853241,0.9280955179214477,74.22,98.0
8,1.6442963334703447,0.9438605341911316,75.54,98.11
9,1.6137818003988267,0.9055589715003968,75.47,98.42
10,1.5950058664369584,0.8929736268997193,76.33,98.49
11,1.5654768055582047,0.9247268414497376,76.33,97.84
12,1.5572715069961547,0.8435283128738403,79.06,98.55
13,1.539646145629883,0.9150905982971191,77.67,98.18
14,1.5273012891960145,0.9390763211250305,80.65,98.61
15,1.5184602117443085,0.8639334162712097,79.08,98.08
16,1.5092244948339462,0.9421168658256531,80.7,98.47
17,1.5050243993997574,0.9181464784622192,80.19,98.24
18,1.495378664317131,0.8457542998313904,81.0,98.46
19,1.4866422758722306,0.8774434361457825,81.8,98.53
20,1.4877926437425613,0.9873192506790162,81.26,98.06
21,1.4729730278873443,1.0397195678710938,80.85,98.47
22,1.474245193219185,0.8888422205924987,81.47,98.73
23,1.4663895157241822,0.7952852290153504,82.91,98.75
24,1.4619607647943498,0.893182679271698,81.71,98.48
25,1.449262304368019,0.9045035614013672,81.13,97.79
26,1.447969563717842,0.8554269044876098,82.73,98.34
27,1.4455461066818238,1.0160617379188537,80.19,98.22
28,1.438775831990242,0.8786495003700256,81.82,98.52
29,1.435512531247139,0.9436675435066223,82.82,98.59
30,1.4346056023263931,0.8844985385894776,82.45,98.74
31,1.4326377613401413,0.8604584162712097,83.33,98.7
32,1.429301204419136,1.0101093361854554,81.8,97.86
33,1.4329813351154328,0.8984170797348022,83.96,98.83
34,1.4249136156082154,0.837275768661499,82.1,98.43
35,1.429750304965973,0.8135742197990418,82.09,98.49
36,1.4248006179904937,0.8110889844894409,84.8,99.08
37,1.4208121723461151,0.8092168733596802,82.88,98.74
38,1.4186495370721817,0.8533229801177978,84.65,98.65
39,1.4123827805280686,0.8947599402427673,83.51,98.66
40,1.4112717012023925,0.8652488255500793,83.93,98.71
41,1.4151499194669723,0.8625392508506775,84.26,98.82
42,1.4154158413267135,0.7542534113883972,82.78,98.77
43,1.413992417321205,0.7730000457763672,83.27,98.77
44,1.3956693775081634,0.833663013458252,83.73,98.61
45,1.4046032933330537,0.8395753170967102,83.69,98.81
46,1.4058937971258163,0.8172131790161132,85.11,98.89
47,1.396668747010231,0.8359384147644043,81.42,98.39
48,1.3919663491916656,0.8506530117988587,85.68,99.04
49,1.408782607321739,0.7774212242126465,84.74,98.84
50,1.3972642174863816,0.7635705697059632,85.41,99.06
51,1.396494927072525,0.8618277812004089,84.8,98.39
52,1.3900081366205215,0.8152355372428894,83.94,98.79
53,1.3976984939861297,0.7071650071144104,85.59,99.11
54,1.3893572419691085,0.8434041185379029,83.99,98.73
55,1.388732040681839,0.8747112378120422,84.53,98.78
56,1.389103508219719,0.8082207602500916,83.92,98.17
57,1.3873964251756667,0.6994892484664917,85.46,98.91
58,1.3888114528656006,0.8113699814796448,84.25,98.42
59,1.3936955517053604,0.8172172247886658,84.69,98.94
60,1.3885748341560364,0.7763693482398987,84.69,98.65
61,1.3778827748775482,0.6996181205749512,85.41,99.1
62,1.378330296087265,0.7041337826728821,85.25,98.98
63,1.376899159207344,0.8068149694442749,84.7,98.24
64,1.381803381485939,0.6727871994972229,86.13,99.19
65,1.3749302293348313,0.812971177482605,84.46,98.71
66,1.3764366699647903,0.7490244157791137,85.54,99.19
67,1.372997422823906,0.7915646226882934,85.47,98.8
68,1.3741578218984605,0.7884325240135193,85.87,98.73
69,1.3740058542060851,0.7824587985992432,85.6,98.89
70,1.3701280777835847,0.8160783318519592,86.0,98.72
71,1.3661756188058853,0.7185040623664856,85.81,99.08
72,1.3675435716295243,0.6650919076919556,84.74,98.78
73,1.3597183519315719,0.6863231775283813,86.4,99.16
74,1.3666206664943694,0.738465970993042,85.97,98.85
75,1.3565331592893601,0.8445461824417114,85.98,98.91
76,1.3646394627952576,0.7601244587898255,86.36,98.79
77,1.3590532281303407,0.7391291575431824,86.29,98.94
78,1.3537667391586303,0.6974310306549072,84.38,99.11
79,1.3598625693941115,0.7737795033454895,85.81,98.84
80,1.3464227485609055,0.7007453350067139,86.67,98.98
81,1.3523553160715103,0.7102894973754883,85.65,98.68
82,1.3538361236333847,0.7063466908454895,86.06,98.98
83,1.3486458825778962,0.6989671737670898,85.88,99.01
84,1.349095617775917,0.6570168885707856,86.76,99.2
85,1.3397994200468064,0.8044283743858337,86.66,98.97
86,1.3468592327833175,0.6694180177688599,87.02,99.26
87,1.3383247650575638,0.736457547569275,86.2,98.89
88,1.3387181078338624,0.7228452600479126,86.46,99.06
89,1.3405865891742705,0.6762912215232849,86.65,99.02
90,1.336698174176216,0.618680827331543,86.96,99.2
91,1.3392914372730256,0.657478945350647,87.05,99.35
92,1.3346626128816605,0.6644800475120545,87.06,99.42
93,1.3357512921762467,0.6425690844535827,87.33,99.29
94,1.3345570107460023,0.6293095106124877,87.01,98.95
95,1.3260700280475617,0.6840801021575927,86.96,99.07
96,1.329741755809784,0.726190668296814,87.58,99.06
97,1.320424001750946,0.7316286387443542,86.51,98.61
98,1.326898643989563,0.7224959600448608,87.59,99.22
99,1.3188382409954071,0.7133869349479676,87.1,98.8
100,1.3238871483659744,0.7698986682891845,86.31,99.2
101,1.31576810942173,0.6090266878128052,88.29,99.37
102,1.3150528430557251,0.6758236037254334,87.9,99.1
103,1.313213304286003,0.6906057716369629,87.95,98.99
104,1.3167181197690965,0.7160267684936523,87.64,98.92
105,1.3072676641702652,0.8485082425117493,86.98,98.88
106,1.3133330492448807,0.639229169178009,87.73,99.07
107,1.3084577253198624,0.6402973695755005,87.3,99.09
108,1.3074706248950958,0.6634434991359711,87.41,99.16
109,1.3067819974899293,0.6208885466575622,88.66,99.37
110,1.3000118839883805,0.6250414023399353,88.75,99.35
111,1.2996165221500398,0.6827574647903443,88.05,99.27
112,1.3031012940502167,0.7293448116779327,87.65,99.11
113,1.302115861210823,0.6301049649238586,87.97,99.23
114,1.296131612176895,0.6351233853340149,88.69,99.4
115,1.2907833058691025,0.6902227489471435,88.21,98.63
116,1.2851453406953812,0.7205814076423644,87.73,98.5
117,1.2933014520311357,0.6638066610336304,88.0,98.73
118,1.2874831133365632,0.5830011978149414,89.38,99.36
119,1.2839645918655396,0.6330268818855286,87.93,99.25
120,1.27995009475708,0.6692051783561707,88.84,99.13
121,1.275421537322998,0.5719107698440552,88.79,99.16
122,1.2741651691579818,0.6545983783721924,89.41,99.21
123,1.2708255325746536,0.6672257083892822,89.66,99.21
124,1.276056740899086,0.7194079831123352,87.91,98.75
125,1.266697873697281,0.6538953488349915,88.98,99.08
126,1.2609499491214753,0.5543557633399964,89.41,99.28
127,1.2664626634073257,0.6229322069168091,89.32,99.09
128,1.2596375705718994,0.5183913485527039,89.72,99.42
129,1.2624961646127701,0.5782730127334594,89.49,99.38
130,1.2678288808441163,0.5230444345951081,89.4,99.4
131,1.2587552919626237,0.7010617170333863,89.02,98.77
132,1.2536495450258256,0.5607373297691345,90.27,99.27
133,1.2468731441545486,0.5863107184410096,88.69,98.89
134,1.242521998257637,0.5501296768188476,89.94,99.41
135,1.2442478894138336,0.6285392934799194,89.75,99.01
136,1.2471034207773208,0.5219138350009919,90.29,99.28
137,1.2412690893650056,0.589318920135498,90.31,99.2
138,1.2397797194719316,0.6469983620166778,89.12,99.0
139,1.237735306854248,0.6237195582389832,90.03,99.05
140,1.2269121289539338,0.5768223356246949,90.47,99.15
141,1.2258609038448334,0.6042313721656799,89.69,98.98
142,1.233216071329117,0.5170045353889465,90.04,99.0
143,1.222149989027977,0.5647538346290588,90.26,99.28
144,1.2198335917854308,0.47672474269866943,90.74,99.45
145,1.2208247388601303,0.49660029773712155,90.19,99.39
146,1.2091161449098586,0.587352206993103,90.54,98.96
147,1.2096070869255067,0.5697342712402343,90.44,99.21
148,1.2079132691097259,0.622919572353363,90.55,98.73
149,1.2032929055738448,0.5995080947875977,91.12,98.96
150,1.2041183861303328,0.5828849877357483,91.17,99.24
151,1.2037179165172578,0.5098890719413758,91.54,99.25
152,1.2024523953914643,0.5255644235610962,91.31,99.14
153,1.1996307352113724,0.5457571778297424,91.41,99.18
154,1.1952958852529525,0.5437672263622284,90.52,98.92
155,1.1876158306455613,0.5306395694732666,91.18,99.25
156,1.183926960759163,0.5638482872962952,90.96,99.12
157,1.1837762717676164,0.6075158777236939,91.16,98.52
158,1.1873629273748398,0.5654169020652771,91.29,98.79
159,1.1789837547636033,0.5374475806236267,91.52,98.93
160,1.1752398832654953,0.556632577419281,91.23,99.16
161,1.172179424533844,0.49169572048187254,91.51,99.2
162,1.1693721819686889,0.5088198396682739,91.28,98.97
163,1.1668564579868317,0.5377267595291138,91.62,98.9
164,1.1662671172904968,0.4781827180862427,92.75,99.38
165,1.1616054901075363,0.451844787979126,91.65,99.2
166,1.157368071398735,0.4595734262943268,92.08,99.28
167,1.160321152305603,0.5285042595863342,92.59,99.18
168,1.1566839141178131,0.6488645315170288,90.81,98.63
169,1.150998472366333,0.5333038752555848,91.97,99.02
170,1.1448001898527145,0.47961424016952514,92.27,98.94
171,1.141704588742256,0.5447494438171386,91.65,98.87
172,1.1401258101701737,0.5147926043510437,91.75,98.99
173,1.1449277186346054,0.5955583369255066,91.46,98.82
174,1.1401484041023255,0.5175228817939759,92.47,99.09
175,1.132024614944458,0.43636152296066283,92.51,99.22
176,1.1329598737239837,0.500860851097107,92.24,99.18
177,1.1288790710926055,0.5663192530632019,91.96,98.55
